company_name,address,city,state,zip,phone,email_guess,category,source,status,enriched_date,outreach_status
EMC General Contractors,,San Ysidro,CA,92173,,info@emcgeneralcontractor.com,General Contractor,,enriched,2025-12-24,pending
Falcon Builders Group,,San Diego,CA,92126,,info@falconbuilders.com,Design-Build/Remodeling,,enriched,2025-12-24,pending
Design Studio West,,San Diego,CA,,,info@designstudiowest.com,Design-Build/Remodeling,,enriched,2025-12-24,pending
Creative Design & Build Inc,,San Diego,CA,92126,,info@creativedesign&build.com,Design-Build/Remodeling,,enriched,2025-12-24,pending
Marrokal Design & Remodeling,,San Diego,CA,,,info@marrokaldesign&remod.com,Design-Build/Remodeling,,enriched,2025-12-24,pending
Valley Habitats Inc.,,San Diego,CA,92122,,info@valleyhabitats.com,Residential,,enriched,2025-12-24,pending
In N Out Remodeling,,San Diego,CA,,,info@innoutremodeling.com,Design-Build/Remodeling,,enriched,2025-12-24,pending
Fausto Construction Inc.,1223 3rd Ave. Suite E,Chula Vista,CA,91911,,info@faustoconstruction.com,General Contractor,,enriched,2025-12-24,pending
ValueCrafters Remodeling Inc,,San Diego,CA,,,info@valuecraftersremodel.com,Design-Build/Remodeling,,enriched,2025-12-24,pending
California Home Center,41593 Winchester Rd,Temecula,CA,92590,,info@californiahomecenter.com,Residential,,enriched,2025-12-24,pending
Wizdom Construction Inc.,347 3rd Avenue 2nd Floor,Chula Vista,CA,91910,,info@wizdomconstruction.com,General Contractor,,enriched,2025-12-24,pending
Groysman Construction,12484 Heatherton Ct #53,San Diego,CA,92128,,info@groysman.com,General Contractor,,enriched,2025-12-24,pending
DS Legend Home Builders,,San Diego,CA,,,info@dslegendhome.com,Design-Build/Remodeling,,enriched,2025-12-24,pending
Seven Home Improvement,,San Diego,CA,92130,,info@sevenhomeimprovement.com,Residential,,enriched,2025-12-24,pending
Ocean Drive Designs,,San Diego,CA,,,info@oceandrivedesigns.com,Design-Build/Remodeling,,enriched,2025-12-24,pending
